1	((((1_2012212021,2_2112212021),3_2112212021),4_2112212021),(((10_0112212221,9_2120010021),8_2120010021),(5_0012212221,6_0012012221)))root;
2	((((1_1112212001,3_1112212001),4_1112212001),2_1112212001),((((10_1111111121,9_1111111121),12_1111111121),11_1111111121),((5_1102000001,6_2100012001),(7_1111111021,8_1111111021))))root;
3	((((1_2120211221,4_2110100021),3_2110100021),2_2120212221),((10_1111111221,9_0111111221),((5_1110112221,6_1110112221),(7_1110111221,8_1110111221))))root;
4	((((1_2102111221,3_2102010221),4_2102010221),2_2102111221),((((10_1112011121,9_1112011121),12_1112011021),11_1112010021),(13_0210012201,14_0210012201)))root;
5	((((1_0101001001,2_2101101000),4_2100101000),3_2100101000),((5_1101201221,6_2101001000),(7_1111001001,8_1111001021)))root;
6	(((1_2100111000,3_2100101000),4_2100101000),2_2100101000)root;
7	((((((1_2110101001,3_2100101000),2_2112111221),4_2102110021),((5_2112111221,6_2112111221),(7_1111001211,8_1111001211))),(((10_0112210011,9_2112111211),12_2112101000),((13_2000100021,14_2000100021),(15_2100101021,(16_2100101021,30_2100101021))))),(((((((17_2111101021,18_2111101021),21_2111101021),((19_2111101011,20_2111101011),23_2111101001)),22_2110101021),(((25_1101001020,26_1111001000),(27_2102111000,28_1112011011)),(29_1111101021,(31_1112211011,32_1112211011)))),((24_2112111001,(((43_2112111001,46_2112111000),45_2112111001),44_2112111001)),36_2101101000)),((33_1122111121,34_1112011201),35_1111201221)))root;
8	((((1_1110001221,2_1110001221),(3_2110101221,4_2120101221)),(((10_2112111201,9_2112111201),(7_2111101201,8_2111101201)),((((11_2112111221,6_2112111221),14_2112111221),12_2112111221),5_2112111221))),(13_1112111221,((15_2110101021,16_2110101021),(17_2100101000,24_2100101000))))root;
9	(((((10_2220102101,9_2120100100),(7_1100101000,8_1100001000)),(((11_2220102200,(5_1102111000,6_2100111000)),12_2100101000),14_2020100101)),(2_1100001000,(3_1100010000,4_1100001000))),(13_2020100101,(15_2020100101,16_2020100101)))root;
10	((1_2120101121,2_2120101121),((((10_2102111000,9_2100101000),(7_2100101200,8_2100101200)),(5_2110101210,6_2100101210)),12_2100101000))root;
11	(((1_2110101021,2_2112111021),(3_2112111021,4_2112111000)),(5_2102111000,(6_2102111000,7_2102111000)))root;
12	(((((1_2100101000,2_2100101000),(3_2100101000,4_2101101000)),(7_2100121000,8_2000120000)),(((10_2122111121,9_2122211121),13_0112211200),((((11_2122111021,5_2100121000),6_2100121000),14_0112011200),12_2112112021))),(((15_0112011200,16_2100111000),(17_2100101000,19_2100101000)),(20_0112211200,((21_0111011000,(22_2121101100,23_2121101100)),((24_2110101000,25_2110101000),26_2210100001)))))root;
13	(((1_2100101100,2_1101021101),(3_2121121101,4_0001200201)),((((10_2102111221,9_2102111221),(7_2102211221,8_2112111221)),(14_2100101000,5_1110001201)),6_1110001201))root;
