No	Tree1	Tree2	Tree1_taxa	Tree2_taxa	Common_taxa	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg	R-F	R-F_toYuleAvg	R-F_toUnifAvg	Triples	Triples_toYuleAvg	Triples_toUnifAvg
1	1	2	9	9	9	3.0000	0.1460	0.1406	2.0000	0.3501	0.3493	3.0000	0.0536	0.0540
2	3	4	12	12	12	6.0000	0.1690	0.1587	3.0000	0.3427	0.3422	5.0000	0.0340	0.0341
3	5	6	10	10	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	7	8	10	10	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	9	10	8	8	8	6.0000	0.3663	0.3526	1.0000	0.2162	0.2123	14.0000	0.3784	0.3703
6	11	12	4	4	4	3.0000	0.9063	0.8863	1.0000	1.4184	1.4514	3.0000	1.1136	1.0929
7	13	14	39	39	39	49.0000	0.2028	0.1570	23.0000	0.6435	0.6412	841.0000	0.1375	0.1378
8	15	16	18	18	18	20.0000	0.2815	0.2487	7.0000	0.4734	0.4720	159.0000	0.2908	0.2928
9	17	18	15	15	15	11.0000	0.2125	0.1914	7.0000	0.5975	0.5924	19.0000	0.0630	0.0628
10	19	20	9	9	9	2.0000	0.0973	0.0937	1.0000	0.1750	0.1746	1.0000	0.0179	0.0180
11	21	22	7	7	7	3.0000	0.2378	0.2368	2.0000	0.5546	0.5499	3.0000	0.1279	0.1298
12	23	24	25	25	25	51.0000	0.4207	0.3534	11.0000	0.5056	0.5030	373.0000	0.2429	0.2430
13	25	26	11	11	11	5.0000	0.1647	0.1565	2.0000	0.2592	0.2581	3.0000	0.0273	0.0272
14	27	28	19	19	19	34.0000	0.4385	0.3826	9.0000	0.5713	0.5690	162.0000	0.2517	0.2505
15	29	30	5	5	5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	31	32	10	10	10	3.0000	0.1180	0.1135	2.0000	0.2997	0.2959	3.0000	0.0374	0.0378
17	33	34	12	12	12	6.0000	0.1690	0.1587	3.0000	0.3427	0.3422	5.0000	0.0340	0.0341
18	35	36	20	20	20	22.0000	0.2582	0.2261	9.0000	0.5373	0.5341	100.0000	0.1308	0.1317
19	37	38	21	21	21	45.0000	0.4913	0.4254	10.0000	0.5633	0.5605	330.0000	0.3716	0.3723
20	39	40	6	6	6	2.0000	0.2211	0.2184	1.0000	0.3870	0.3795	1.0000	0.0747	0.0740
21	41	42	7	7	7	3.0000	0.2378	0.2368	2.0000	0.5546	0.5499	3.0000	0.1279	0.1298
22	43	44	9	9	9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
23	45	46	10	10	10	3.0000	0.1180	0.1135	1.0000	0.1498	0.1480	2.0000	0.0249	0.0252
24	47	48	9	9	9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
25	49	50	11	11	11	2.0000	0.0659	0.0626	1.0000	0.1296	0.1290	1.0000	0.0091	0.0091
26	51	52	20	20	20	4.0000	0.0470	0.0411	2.0000	0.1194	0.1187	8.0000	0.0105	0.0105
27	53	54	15	15	15	10.0000	0.1932	0.1740	6.0000	0.5121	0.5077	80.0000	0.2651	0.2643
28	55	56	12	12	12	9.0000	0.2535	0.2380	5.0000	0.5712	0.5703	8.0000	0.0543	0.0545
29	57	58	15	15	15	22.0000	0.4251	0.3829	8.0000	0.6828	0.6770	40.0000	0.1325	0.1321
30	59	60	14	14	14	34.0000	0.7278	0.6739	9.0000	0.8364	0.8326	174.0000	0.7161	0.7178
31	61	62	34	34	34	38.0000	0.1944	0.1541	11.0000	0.3575	0.3566	821.0000	0.2053	0.2059
32	63	64	9	9	9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
33	65	66	26	26	26	29.0000	0.2245	0.1854	9.0000	0.3950	0.3939	50.0000	0.0288	0.0288
34	67	68	11	11	11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
35	69	70	13	13	13	13.0000	0.3184	0.2948	5.0000	0.5149	0.5102	16.0000	0.0837	0.0838
36	71	72	9	9	9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
37	73	74	19	19	19	118.0000	1.5217	1.3277	16.0000	1.0157	1.0115	535.0000	0.8313	0.8273
38	75	76	8	8	8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
39	77	78	10	10	10	10.0000	0.3935	0.3782	4.0000	0.5993	0.5919	14.0000	0.1746	0.1762
40	79	80	14	14	14	4.0000	0.0856	0.0793	2.0000	0.1859	0.1850	2.0000	0.0082	0.0083
41	81	82	12	12	12	10.0000	0.2817	0.2645	4.0000	0.4570	0.4563	47.0000	0.3193	0.3203
