No	Tree1	Tree2	MatchingCluster	R-F	Triples
1	1	2	3.0000	2.0000	3.0000
2	3	4	6.0000	3.0000	5.0000
3	5	6	0.0000	0.0000	0.0000
4	7	8	0.0000	0.0000	0.0000
5	9	10	6.0000	1.0000	14.0000
6	11	12	3.0000	1.0000	3.0000
7	13	14	49.0000	23.0000	841.0000
8	15	16	20.0000	7.0000	159.0000
9	17	18	11.0000	7.0000	19.0000
10	19	20	2.0000	1.0000	1.0000
11	21	22	3.0000	2.0000	3.0000
12	23	24	51.0000	11.0000	373.0000
13	25	26	5.0000	2.0000	3.0000
14	27	28	34.0000	9.0000	162.0000
15	29	30	0.0000	0.0000	0.0000
16	31	32	3.0000	2.0000	3.0000
17	33	34	6.0000	3.0000	5.0000
18	35	36	22.0000	9.0000	100.0000
19	37	38	45.0000	10.0000	330.0000
20	39	40	2.0000	1.0000	1.0000
21	41	42	3.0000	2.0000	3.0000
22	43	44	0.0000	0.0000	0.0000
23	45	46	3.0000	1.0000	2.0000
24	47	48	0.0000	0.0000	0.0000
25	49	50	2.0000	1.0000	1.0000
26	51	52	4.0000	2.0000	8.0000
27	53	54	10.0000	6.0000	80.0000
28	55	56	9.0000	5.0000	8.0000
29	57	58	22.0000	8.0000	40.0000
30	59	60	34.0000	9.0000	174.0000
31	61	62	38.0000	11.0000	821.0000
32	63	64	0.0000	0.0000	0.0000
33	65	66	29.0000	9.0000	50.0000
34	67	68	0.0000	0.0000	0.0000
35	69	70	13.0000	5.0000	16.0000
36	71	72	0.0000	0.0000	0.0000
37	73	74	118.0000	16.0000	535.0000
38	75	76	0.0000	0.0000	0.0000
39	77	78	10.0000	4.0000	14.0000
40	79	80	4.0000	2.0000	2.0000
41	81	82	10.0000	4.0000	47.0000
42	83	84	2.0000	0.0000	1.0000
43	85	86	22.0000	6.0000	69.0000
44	87	88	28.0000	10.0000	44.0000
45	89	90	18.0000	7.0000	66.0000
46	91	92	2.0000	1.0000	1.0000
47	93	94	6.0000	4.0000	6.0000
48	95	96	0.0000	0.0000	0.0000
49	97	98	3.0000	2.0000	3.0000
50	99	100	26.0000	8.0000	75.0000
51	101	102	3.0000	1.0000	2.0000
52	103	104	0.0000	0.0000	0.0000
53	105	106	3.0000	1.0000	3.0000
54	107	108	0.0000	0.0000	0.0000
55	109	110	23.0000	9.0000	40.0000
56	111	112	3.0000	1.0000	2.0000
57	113	114	11.0000	5.0000	14.0000
58	115	116	5.0000	4.0000	14.0000
59	117	118	21.0000	8.0000	90.0000
60	119	120	13.0000	5.0000	18.0000
61	121	122	0.0000	0.0000	0.0000
62	123	124	46.0000	17.0000	437.0000
63	125	126	0.0000	0.0000	0.0000
64	127	128	5.0000	2.0000	18.0000
65	129	130	0.0000	0.0000	0.0000
66	131	132	115.0000	18.0000	783.0000
67	133	134	12.0000	4.0000	13.0000
68	135	136	6.0000	3.0000	5.0000
69	137	138	3.0000	2.0000	3.0000
70	139	140	8.0000	3.0000	5.0000
71	141	142	7.0000	4.0000	8.0000
72	143	144	6.0000	3.0000	5.0000
73	145	146	7.0000	4.0000	5.0000
74	147	148	17.0000	10.0000	54.0000
75	149	150	12.0000	6.0000	92.0000
76	151	152	0.0000	0.0000	0.0000
---------
Summary:
Name	Avg	Std	Min	Max	Count
MatchingCluster	13.328947368421053	21.19296566384254	0.0	118.0	76
R-F	4.302631578947368	4.718440132641143	0.0	23.0	76
Triples	75.02631578947368	179.06188093007418	0.0	841.0	76
